"","retweeted_status.user.screen_name","n"
"732","sarcasticmommy4",2
"733","sbux2300",2
"734","SbuxCocoWalk",2
"735","Sbuxlgcyvillage",2
"736","SbuxTowerCity",2
"737","sbwp_io",2
"738","scarrrlllin",2
"739","ScubavelliDeux",2
"740","Sekinatlawal081",2
"741","__sekrettt",2
"742","signsalad",2
"743","simoncholland",2
"744","simpleygourmet",2
"745","SimplyRania",2
"746","Siren_Sea_Witch",2
"747","Skry_Guy",2
"748","skylinkdave",2
"749","spark13960",2
"750","spieletrend",2
"751","Spreadapedia",2
"752","Starbucks2813",2
"753","starbuckspolska",2
"754","SteffanieFlores",2
"755","Stop_UTK_Now",2
"756","studio_hazuki",2
"757","suchaCoffeeCat",2
"758","synchrojapan",2
"759","syqau",2
"760","SZ",2
"761","tailgatebeer",2
"762","talkofheaven",2
"763","TaylarGoss",2
"764","taylorswift13",2
"765","Team10official",2
"766","teamrattrap",2
"767","TechGeekRebel",2
"768","teen__speak",2
"769","thatkid1613",2
"770","TheCatWhisprer",2
"771","TheCircleGSU",2
"772","TheMVJournal",2
"773","the_real_moreau",2
"774","thestomachhands",2
"775","TheTorontoSun",2
"776","Thiti_pleple",2
"777","TKMUTT",2
"778","TohviaO",2
"779","ToledoBookstore",2
"780","TracyQLoxley",2
"781","TrevorMonte",2
"782","TroyCoby",2
"783","tubuiminh",2
"784","TwinSurvivalist",2
"785","TwistyPB",2
"786","TwitterMoments",2
"787","UglyGuy140",2
"788","upsetbarista",2
"789","v101fm",2
"790","veggiepaleofood",2
"791","Verraeterin",2
"792","vicecanada",2
"793","viveesmeralda",2
"794","_voidkisses",2
"795","WearyWallflower",2
"796","WHOhd",2
"797","WomansDay",2
"798","WorthamJayla",2
"799","wsubookie",2
"800","xnicholexc",2
"801","Yahoo",2
"802","youvoteyoucount",2
"803","ZaibBabe",2
"804","0kaitlyn0",1
"805","0xabad1dea",1
"806","1023WBAB",1
"807","1075theriver",1
"808","1200WOAI",1
"809","120yearz",1
"810","1214Basketball",1
"811","1998prt",1
"812","1dareliars",1
"813","1NamedLeemur",1
"814","1natter_di",1
"815","2316CliftonSbux",1
"816","2580WestlakeSB",1
"817","2PlattenKocher",1
"818","2questionable",1
"819","30samIToya",1
"820","4GoodnessBlakes",1
"821","8gables",1
"822","8thGradeWasBest",1
"823","933FLZ",1
"824","977thebeach",1
"825","99_social",1
"826","_aaaaariel",1
"827","AACCIntl",1
"828","aalexandraa98",1
"829","Aaronchen332",1
"830","aayendrew",1
"831","abartons",1
"832","AB_AR_Vlog_Game",1
"833","abbsofsteel_3",1
"834","abbygailob",1
"835","AbbyNoie",1
"836","abbystrobelt",1
"837","abd_hdy",1
"838","AbercrombieGel",1
"839","AbigaelKCTV5",1
"840","ABoyToRemember",1
"841","_Absurde",1
"842","AccessWinnipeg",1
"843","actingmylife211",1
"844","actionevans",1
"845","ActThor",1
"846","adam_ballinger",1
"847","adamswifi",1
"848","addleapp1e",1
"849","addyk216",1
"850","adibbiman",1
"851","adlevizl",1
"852","AdorableRingo",1
"853","adrianagonv",1
"854","AdriannaKmetz",1
"855","ADWuae",1
"856","AEONMallBSDCity",1
"857","afcSharky",1
"858","Afriquya",1
"859","Afsar_O",1
"860","AguaParaNescafe",1
"861","agu_carabajal",1
"862","AgusVillarruel8",1
"863","Ahmed__Demha",1
"864","ahtziridl",1
"865","_aimeeconnolly",1
"866","AimeeStern",1
"867","airiii_dancer",1
"868","aishitooru",1
"869","AislynnTimmins",1
"870","ai_vuh_ree",1
"871","AJSmith1113",1
"872","akajordanross",1
"873","AkarBerkcan",1
"874","AkelaSound",1
"875","AlertTrade",1
"876","alessandra_bara",1
"877","alexandrabird13",1
"878","alexis_colletti",1
"879","AlexisLeeReyes",1
"880","alexizsaldivar",1
"881","alexwisp",1
"882","ali_mcconnell",1
"883","Ali__Shain",1
"884","alisterandrews_",1
"885","_allanmatias",1
"886","ALLippincott",1
"887","AllisonRaynor",1
"888","alliyaazmir",1
"889","alltheabby",1
"890","altyrlog",1
"891","AlyseGambles",1
"892","AlysonRice_",1
"893","alyssabaches",1
"894","alyssachanelle",1
"895","alyssa_huns",1
"896","alyssa_owens",1
"897","amandaameer",1
"898","AmandaBlackfire",1
"899","amandugh",1
"900","amandxrs",1
"901","AMatthiesen",1
"902","amberpace_",1
"903","amelia182_",1
"904","AmiruddinRafii",1
"905","AMP1037DFW",1
"906","AnastaciaMusic",1
"907","andi_con",1
"908","AndrewCouts",1
"909","andrewmhickey",1
"910","andrewsude",1
"911","AndrewYoung206",1
"912","AngelaIMC",1
"913","AngelaRoseWill1",1
"914","angelavalela",1
"915","AngieGreenup",1
"916","AnjaWhateley",1
"917","Ann16Jones",1
"918","Anna3x",1
"919","Anndrea09",1
"920","annuhhhlee_",1
"921","anthosalinas99",1
"922","anya_bernard",1
"923","aomietyk",1
"924","AprilEganHair",1
"925","aquafineyah",1
"926","aquariustrann",1
"927","AquinxxxBI",1
"928","ArdenChoFanclub",1
"929","ariananana16",1
"930","AriaRealty",1
"931","aribelljpg",1
"932","arielmwalsh",1
"933","arod800",1
"934","_arowe",1
"935","Arsenall24",1
"936","ArtemisLuck",1
"937","AryannaCooke",1
"938","ASAP_KIKI_",1
"939","AshJ87",1
"940","ashleybuckleyy",1
"941","_AshleyC21_",1
"942","ashleynmcelvy",1
"943","ash_rowbless14",1
"944","ASIAXXIII",1
"945","askme12Sandra",1
"946","AtelierFami",1
"947","attacksn",1
"948","AuguraDigital",1
"949","AuniAb",1
"950","AustinKSNT",1
"951","AverySchlereth",1
"952","avoclodo",1
"953","axndreaa",1
"954","ayakasMomo",1
"955","ayaka_tr12",1
"956","Aye_Kilah",1
"957","_ayeli_",1
"958","aynaatiqa",1
"959","AzlinShamimie",1
"960","b4steredprince",1
"961","BabyGirlKit",1
"962","babypinknialler",1
"963","babyygirlmels",1
"964","BaeIationship",1
"965","BaileyBrookeCam",1
"966","BamaLez16",1
"967","bananafin",1
"968","Banc0Pokem0n",1
"969","bangtandgs",1
"970","BangtansMochi13",1
"971","BarbaraNiven",1
"972","BaristaHonest",1
"973","BaristaJill",1
"974","BarnesNSalem",1
"975","BarneyStellar",1
"976","baybay929",1
"977","baylin_self",1
"978","bbaylee_",1
"979","BBWslayer666",1
"980","bcokami",1
"981","BeanieFeldstein",1
"982","BeautifulWhims",1
"983","BeautyandMore14",1
"984","becdwo",1
"985","BedStuyPatch",1
"986","___beep",1
"987","behatistyIes",1
"988","BelChamUS",1
"989","benamckee",1
"990","benfoldslaundry",1
"991","benjancewicz",1
"992","BestOfJLauther",1
"993","BIackPpIComedy",1
"994","biacouttinho",1
"995","bibamagazine",1
"996","Big955Chicago",1
"997","BinBlaire",1
"998","Bisniscom",1
"999","bitxhwitch",1
"1000","bl0ndegiirl",1
"1001","blazepaw",1
"1002","blizjeff",1
"1003","blonde_kush",1
"1004","blopez920",1
"1005","BlueGamer11dude",1
"1006","BLyissa",1
"1007","bmdazzo",1
"1008","BNArboretum",1
"1009","BNCedarRapids",1
"1010","BNChattanooga",1
"1011","BNClarence",1
"1012","BNHawthornMall",1
"1013","BNLennoxTwnCtr",1
"1014","BNManOWar",1
"1015","BNMaplewoodMN",1
"1016","BNMoheganLake",1
"1017","BNMonmouthMall",1
"1018","BNMorrisPlains",1
"1019","BNRockford",1
"1020","BNTorrance",1
"1021","BNYoungstownOH",1
"1022","bobbydtv",1
"1023","Boi_Kat_Stacks",1
"1024","Boss11D",1
"1025","botanicvngel",1
"1026","BoysOnMeHeavy",1
"1027","BOYWONDERELROY",1
"1028","brandanwade",1
"1029","BrandwatchES",1
"1030","Braves_Fan007",1
"1031","_breannaleshae",1
"1032","breday_everyday",1
"1033","breeboo0912",1
"1034","BreenMirjam",1
"1035","breezelovesoul",1
"1036","brewer_julie",1
"1037","bricolagelaw",1
"1038","brie_petrow",1
"1039","brisanders123",1
"1040","BritandCo",1
"1041","BrittanyJoyal",1
"1042","Brittneycastro",1
"1043","brock112233",1
"1044","BrookstreetOtt",1
"1045","broooooklynnnn",1
"1046","Broscussion",1
"1047","brriii_26",1
"1048","_bruce89",1
"1049","BTOMASV",1
"1050","Bunniceu",1
"1051","buzz_ebooks",1
"1052","BuzzFeedFood",1
"1053","bvasher96",1
"1054","BwitU2",1
"1055","bynrbl",1
"1056","bzooty",1
"1057","CabeYofeels",1
"1058","cakepril",1
"1059","CalgaryDealBlog",1
"1060","calistac4t",1
"1061","callieroche16",1
"1062","calypsocoffee0",1
"1063","camalexboen",1
"1064","camilamunoz23",1
"1065","camilo_jpm",1
"1066","CandideKier",1
"1067","candiiriera",1
"1068","candy8113",1
"1069","carlosgomen",1
"1070","CaroCaje",1
"1071","carolinefallonn",1
"1072","CarverComm",1
"1073","casmondddd",1
"1074","CatyMetzger",1
"1075","CBraxdale_TDA",1
"1076","CBX129mion",1
"1077","CCabelloDuh",1
"1078","CClipinista",1
"1079","CDP1882",1
"1080","Cecezhanae",1
"1081","___chanri01",1
"1082","chantel0208",1
"1083","charltanae",1
"1084","Charlyhk",1
"1085","chelseaahaas",1
"1086","chelseaharveyy",1
"1087","chemroseangelie",1
"1088","CheyLeandra",1
"1089","CHI_DealFinder",1
"1090","Chillpainai",1
"1091","Chip_Chick",1
"1092","chlamydiamiggs",1
"1093","chloeyasheckie",1
